Data	Produkcja_kWh	Zuzycie_Wlasne_kWh
2025-01-01	585	171
2025-01-02	630	272
2025-01-03	388	285
2025-01-04	300	245
2025-01-05	492	295
2025-01-06	418	166
2025-01-07	495	252
2025-01-08	350	161
2025-01-09	360	346
2025-01-10	408	246
2025-01-11	350	255
2025-01-12	325	306
2025-01-13	314	291
2025-01-14	561	167
2025-01-15	698	199
2025-01-16	694	198
2025-01-17	313	331
2025-01-18	416	350
2025-01-19	627	251
2025-01-20	535	240
2025-01-21	566	157
2025-01-22	604	178
2025-01-23	579	200
2025-01-24	406	181
2025-01-25	424	305
2025-01-26	316	179
2025-01-27	701	184
2025-01-28	582	244
2025-01-29	344	300
2025-01-30	535	345
2025-01-31	442	263
2025-02-01	716	297
2025-02-02	390	336
2025-02-03	465	285
2025-02-04	528	286
2025-02-05	709	266
2025-02-06	504	326
2025-02-07	337	343
2025-02-08	683	294
2025-02-09	520	317
2025-02-10	600	157
2025-02-11	688	234
2025-02-12	737	306
2025-02-13	729	212
2025-02-14	476	208
2025-02-15	578	285
2025-02-16	607	229
2025-02-17	382	221
2025-02-18	469	225
2025-02-19	484	169
2025-02-20	585	187
2025-02-21	641	220
2025-02-22	579	220
2025-02-23	588	313
2025-02-24	375	150
2025-02-25	479	336
2025-02-26	619	290
2025-02-27	715	300
2025-02-28	576	291
2025-03-01	492	189
2025-03-02	457	248
2025-03-03	375	281
2025-03-04	326	228
2025-03-05	501	156
2025-03-06	458	296
2025-03-07	408	325
2025-03-08	216	202
2025-03-09	305	202
2025-03-10	309	186
2025-03-11	523	263
2025-03-12	493	345
2025-03-13	277	216
2025-03-14	461	152
2025-03-15	248	299
2025-03-16	422	200
2025-03-17	272	194
2025-03-18	548	211
2025-03-19	574	230
2025-03-20	332	324
2025-03-21	269	336
2025-03-22	521	231
2025-03-23	579	243
2025-03-24	277	251
2025-03-25	317	304
2025-03-26	584	265
2025-03-27	294	169
2025-03-28	461	189
2025-03-29	323	321
2025-03-30	414	230
2025-03-31	560	322
2025-04-01	535	300
2025-04-02	485	208
2025-04-03	205	343
2025-04-04	380	335
2025-04-05	565	282
2025-04-06	382	244
2025-04-07	464	271
2025-04-08	366	216
2025-04-09	234	188
2025-04-10	357	337
2025-04-11	459	266
2025-04-12	515	259
2025-04-13	517	308
2025-04-14	413	234
2025-04-15	369	180
2025-04-16	598	310
2025-04-17	327	304
2025-04-18	279	215
2025-04-19	258	235
2025-04-20	318	339
2025-04-21	275	276
2025-04-22	533	196
2025-04-23	557	281
2025-04-24	520	168
2025-04-25	252	196
2025-04-26	334	239
2025-04-27	514	165
2025-04-28	203	299
2025-04-29	262	325
2025-04-30	502	302
2025-05-01	272	343
2025-05-02	252	207
2025-05-03	447	217
2025-05-04	410	218
2025-05-05	198	313
2025-05-06	127	317
2025-05-07	304	292
2025-05-08	399	260
2025-05-09	245	293
2025-05-10	236	320
2025-05-11	262	200
2025-05-12	241	267
2025-05-13	420	313
2025-05-14	436	163
2025-05-15	283	155
2025-05-16	372	339
2025-05-17	398	269
2025-05-18	383	188
2025-05-19	422	175
2025-05-20	437	250
2025-05-21	304	239
2025-05-22	313	162
2025-05-23	145	349
2025-05-24	247	172
2025-05-25	151	284
2025-05-26	318	275
2025-05-27	378	244
2025-05-28	146	214
2025-05-29	158	236
2025-05-30	287	344
2025-05-31	365	157
2025-06-01	166	289
2025-06-02	335	228
2025-06-03	157	238
2025-06-04	231	216
2025-06-05	163	322
2025-06-06	350	150
2025-06-07	419	343
2025-06-08	262	226
2025-06-09	432	215
2025-06-10	123	152
2025-06-11	442	151
2025-06-12	255	227
2025-06-13	436	261
2025-06-14	119	193
2025-06-15	290	289
2025-06-16	269	303
2025-06-17	281	315
2025-06-18	168	184
2025-06-19	178	306
2025-06-20	220	217
2025-06-21	114	318
2025-06-22	355	271
2025-06-23	340	197
2025-06-24	203	210
2025-06-25	413	177
2025-06-26	312	336
2025-06-27	243	187
2025-06-28	160	325
2025-06-29	242	219
2025-06-30	222	164
2025-07-01	314	285
2025-07-02	383	184
2025-07-03	292	316
2025-07-04	421	330
2025-07-05	211	203
2025-07-06	123	281
2025-07-07	162	232
2025-07-08	350	224
2025-07-09	300	151
2025-07-10	126	226
2025-07-11	169	155
2025-07-12	204	240
2025-07-13	175	218
2025-07-14	247	311
2025-07-15	107	182
2025-07-16	137	185
2025-07-17	104	185
2025-07-18	209	189
2025-07-19	348	344
2025-07-20	416	299
2025-07-21	176	174
2025-07-22	380	163
2025-07-23	204	342
2025-07-24	437	292
2025-07-25	178	322
2025-07-26	157	166
2025-07-27	264	202
2025-07-28	425	243
2025-07-29	164	230
2025-07-30	395	333
2025-07-31	312	277
2025-08-01	226	192
2025-08-02	267	292
2025-08-03	199	308
2025-08-04	212	227
2025-08-05	375	205
2025-08-06	256	230
2025-08-07	427	190
2025-08-08	390	269
2025-08-09	288	261
2025-08-10	117	312
2025-08-11	190	320
2025-08-12	168	180
2025-08-13	425	199
2025-08-14	124	236
2025-08-15	254	317
2025-08-16	170	294
2025-08-17	375	202
2025-08-18	343	279
2025-08-19	311	269
2025-08-20	412	312
2025-08-21	159	251
2025-08-22	264	265
2025-08-23	165	180
2025-08-24	279	194
2025-08-25	158	310
2025-08-26	431	299
2025-08-27	273	176
2025-08-28	402	154
2025-08-29	429	152
2025-08-30	233	170
2025-08-31	259	325
2025-09-01	574	345
2025-09-02	539	224
2025-09-03	362	184
2025-09-04	202	266
2025-09-05	464	168
2025-09-06	570	294
2025-09-07	308	303
2025-09-08	221	236
2025-09-09	534	184
2025-09-10	472	332
2025-09-11	465	240
2025-09-12	538	311
2025-09-13	533	235
2025-09-14	481	214
2025-09-15	299	308
2025-09-16	578	180
2025-09-17	262	268
2025-09-18	562	197
2025-09-19	500	163
2025-09-20	579	283
2025-09-21	358	314
2025-09-22	251	186
2025-09-23	558	204
2025-09-24	363	196
2025-09-25	583	281
2025-09-26	421	196
2025-09-27	403	274
2025-09-28	261	222
2025-09-29	591	343
2025-09-30	296	192
2025-10-01	298	300
2025-10-02	526	315
2025-10-03	230	261
2025-10-04	219	332
2025-10-05	266	313
2025-10-06	359	186
2025-10-07	259	175
2025-10-08	414	342
2025-10-09	453	301
2025-10-10	420	271
2025-10-11	456	182
2025-10-12	358	225
2025-10-13	281	245
2025-10-14	337	164
2025-10-15	546	302
2025-10-16	470	297
2025-10-17	246	241
2025-10-18	357	212
2025-10-19	424	262
2025-10-20	346	293
2025-10-21	551	209
2025-10-22	281	263
2025-10-23	326	321
2025-10-24	302	323
2025-10-25	282	221
2025-10-26	220	219
2025-10-27	331	160
2025-10-28	528	204
2025-10-29	353	256
2025-10-30	271	158
2025-10-31	356	175
2025-11-01	437	227
2025-11-02	738	311
2025-11-03	703	232
2025-11-04	481	264
2025-11-05	356	347
2025-11-06	632	276
2025-11-07	564	285
2025-11-08	380	273
2025-11-09	487	258
2025-11-10	345	182
2025-11-11	517	323
2025-11-12	470	282
2025-11-13	601	295
2025-11-14	716	179
2025-11-15	645	224
2025-11-16	510	293
2025-11-17	596	242
2025-11-18	394	242
2025-11-19	734	266
2025-11-20	414	239
2025-11-21	646	152
2025-11-22	563	251
2025-11-23	349	256
2025-11-24	599	186
2025-11-25	650	162
2025-11-26	500	330
2025-11-27	466	306
2025-11-28	698	246
2025-11-29	633	261
2025-11-30	610	322
2025-12-01	525	276
2025-12-02	562	203
2025-12-03	743	161
2025-12-04	580	214
2025-12-05	421	283
2025-12-06	304	163
2025-12-07	535	340
2025-12-08	636	297
2025-12-09	320	178
2025-12-10	737	208
2025-12-11	335	287
2025-12-12	432	234
2025-12-13	540	271
2025-12-14	322	239
2025-12-15	712	269
2025-12-16	668	322
2025-12-17	369	253
2025-12-18	427	184
2025-12-19	506	216
2025-12-20	398	255
2025-12-21	578	266
2025-12-22	346	251
2025-12-23	677	286
2025-12-24	398	245
2025-12-25	596	276
2025-12-26	514	217
2025-12-27	595	283
2025-12-28	421	344
2025-12-29	583	279
2025-12-30	423	247
2025-12-31	435	252
